__time,/pred_cup_pose/header/header/seq,/pred_cup_pose/header/header/stamp,/pred_cup_pose/pose/orientation/w,/pred_cup_pose/pose/orientation/x,/pred_cup_pose/pose/orientation/y,/pred_cup_pose/pose/orientation/z,/pred_cup_pose/pose/position/x,/pred_cup_pose/pose/position/y,/pred_cup_pose/pose/position/z,/vrpn_mocap/cup/pose/header/header/seq,/vrpn_mocap/cup/pose/header/header/stamp,/vrpn_mocap/cup/pose/pose/orientation/pitch,/vrpn_mocap/cup/pose/pose/orientation/roll,/vrpn_mocap/cup/pose/pose/orientation/w,/vrpn_mocap/cup/pose/pose/orientation/x,/vrpn_mocap/cup/pose/pose/orientation/y,/vrpn_mocap/cup/pose/pose/orientation/yaw,/vrpn_mocap/cup/pose/pose/orientation/z,/vrpn_mocap/cup/pose/pose/position/x,/vrpn_mocap/cup/pose/pose/position/y,/vrpn_mocap/cup/pose/pose/position/z
1706627032.988811,,,,,,,,,,0.000000000,1703862887.503839493,-0.065081009,2.990558960,0.073234320,0.994833827,0.059725955,0.124854080,0.037083104,2.659002304,0.702301681,0.816417754
1706627032.997633,,,,,,,,,,0.000000000,1703862887.513699055,-0.064607417,2.991200977,0.072928920,0.994861722,0.059792601,0.124927489,0.036831103,2.658977747,0.702340543,0.816419601
1706627033.010097,,,,,,,,,,0.000000000,1703862887.524046898,-0.064564044,2.991188912,0.072938427,0.994865239,0.059737056,0.124812926,0.036805715,2.659006119,0.702315271,0.816401184
1706627033.015535,,,,,,,,,,0.000000000,1703862887.533789873,-0.064935495,2.991418346,0.072818831,0.994879007,0.059551418,0.124459940,0.036970727,2.658995390,0.702328801,0.816407263
1706627033.026525,,,,,,,,,,0.000000000,1703862887.543503284,-0.064395616,2.990944636,0.073061794,0.994852781,0.059836019,0.125007867,0.036736377,2.658986568,0.702334166,0.816414952
1706627033.030058,,,,,,,,,,0.000000000,1703862887.543626785,-0.064310854,2.990766311,0.073163718,0.994864464,0.059551839,0.124436580,0.036678664,2.658945799,0.702324271,0.816412032
1706627033.037374,,,,,,,,,,0.000000000,1703862887.553822517,-0.064794393,2.990699564,0.073177293,0.994848907,0.059641428,0.124656656,0.036929160,2.658974886,0.702330649,0.816426218
1706627033.047540,,,,,,,,,,0.000000000,1703862887.563548565,-0.064452972,2.990826883,0.073139146,0.994881153,0.059273101,0.123885012,0.036727365,2.658941984,0.702347279,0.816445470
1706627033.051412,,,,,,,,,,0.000000000,1703862887.563602686,-0.063831668,2.990609703,0.073272131,0.994889855,0.059155516,0.123608431,0.036414701,2.658931017,0.702360511,0.816436708
1706627033.056406,,,,,,,,,,0.000000000,1703862887.573740482,-0.064406484,2.991849912,0.072620310,0.994900525,0.059603292,0.124507449,0.036696523,2.658920527,0.702359915,0.816388547
1706627033.065324,,,,,,,,,,0.000000000,1703862887.583501577,-0.064224016,2.990685687,0.073207274,0.994863749,0.059535868,0.124400712,0.036636569,2.658968925,0.702323794,0.816408694
1706627033.069690,,,,,,,,,,0.000000000,1703862887.583543539,-0.064333446,2.991108046,0.073004343,0.994895101,0.059249666,0.123818267,0.036657158,2.658940792,0.702359378,0.816423535
1706627033.077285,,,,,,,,,,0.000000000,1703862887.593663692,-0.064446254,2.990779496,0.073151909,0.994861722,0.059571147,0.124485400,0.036747392,2.658967495,0.702339947,0.816418469
1706627033.083609,,,,,,,,,,0.000000000,1703862887.593804121,-0.065485032,2.991558471,0.072723873,0.994864464,0.059734844,0.124865878,0.037254598,2.658991098,0.702338815,0.816405058
1706627033.094250,8411.000000000,1703862886.433701515,0.000000000,0.000000000,0.000000000,0.000000000,3.059293747,0.705576837,0.818772495,,,,,,,,,,,,
1706627033.098379,,,,,,,,,,0.000000000,1703862887.613547802,-0.064530427,2.990502680,0.073286518,0.994849741,0.059572756,0.124505412,0.036798224,2.658978224,0.702307045,0.816421926
