__time,/pred_cup_pose/header/header/seq,/pred_cup_pose/header/header/stamp,/pred_cup_pose/pose/orientation/w,/pred_cup_pose/pose/orientation/x,/pred_cup_pose/pose/orientation/y,/pred_cup_pose/pose/orientation/z,/pred_cup_pose/pose/position/x,/pred_cup_pose/pose/position/y,/pred_cup_pose/pose/position/z,/vrpn_mocap/cup/pose/header/header/seq,/vrpn_mocap/cup/pose/header/header/stamp,/vrpn_mocap/cup/pose/pose/orientation/pitch,/vrpn_mocap/cup/pose/pose/orientation/roll,/vrpn_mocap/cup/pose/pose/orientation/w,/vrpn_mocap/cup/pose/pose/orientation/x,/vrpn_mocap/cup/pose/pose/orientation/y,/vrpn_mocap/cup/pose/pose/orientation/yaw,/vrpn_mocap/cup/pose/pose/orientation/z,/vrpn_mocap/cup/pose/pose/position/x,/vrpn_mocap/cup/pose/pose/position/y,/vrpn_mocap/cup/pose/pose/position/z
1706626564.053978,1374.000000000,1703862876.253707647,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.108324,1375.000000000,1703862876.263516903,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.171144,1376.000000000,1703862876.263557911,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.225511,1377.000000000,1703862876.283502579,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.259975,,,,,,,,,,0.000000000,1703862876.703815222,-0.161864458,0.152494566,-0.992372513,-0.070891686,0.085068516,-0.121461591,0.054172244,2.655417681,0.698241889,0.845379412
1706626564.270332,,,,,,,,,,0.000000000,1703862876.713669538,-0.010877875,3.032989727,-0.053757064,-0.996055245,-0.069992080,0.140899190,-0.009237841,2.658384323,0.703321815,0.814388633
1706626564.280059,,,,,,,,,,0.000000000,1703862876.723816156,-0.012542225,3.038317498,-0.051039129,-0.996153176,-0.070539102,0.142035235,-0.009909322,2.658517122,0.703504264,0.814348459
1706626564.288552,1378.000000000,1703862876.283547401,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.291432,,,,,,,,,,0.000000000,1703862876.733774900,-0.012666375,3.039900790,-0.050251573,-0.996231973,-0.069992334,0.140928213,-0.009887500,2.658553839,0.703576803,0.814325094
1706626564.299731,,,,,,,,,,0.000000000,1703862876.743606567,-0.011878537,3.038989411,-0.050738454,-0.996247292,-0.069474861,0.139857617,-0.009499826,2.658550978,0.703590035,0.814345241
1706626564.302570,,,,,,,,,,0.000000000,1703862876.743684053,-0.011898429,3.040995665,-0.049740002,-0.996309698,-0.069311686,0.139512000,-0.009431443,2.658565998,0.703633547,0.814303041
1706626564.311202,,,,,,,,,,0.000000000,1703862876.753713131,-0.011784063,3.039645378,-0.050420057,-0.996301115,-0.068946488,0.138785818,-0.009402962,2.658576012,0.703652263,0.814341307
1706626564.314754,,,,,,,,,,0.000000000,1703862876.754155159,-0.012006119,3.038270724,-0.051096559,-0.996262014,-0.068991549,0.138900856,-0.009563897,2.658589840,0.703710914,0.814344108
1706626564.320489,,,,,,,,,,0.000000000,1703862876.763687372,-0.011322178,3.038282215,-0.051120583,-0.996307433,-0.068365708,0.137608761,-0.009189798,2.658594370,0.703741491,0.814310968
1706626564.330366,,,,,,,,,,0.000000000,1703862876.774232626,-0.004509863,3.032403311,-0.054237943,-0.995622694,-0.075847223,0.152314118,-0.006396722,2.658835888,0.703182876,0.814608335
1706626564.339647,,,,,,,,,,0.000000000,1703862876.783592463,-0.005224844,3.032640455,-0.054094885,-0.995654464,-0.075503305,0.151660865,-0.006725981,2.658856869,0.703213513,0.814582825
1706626564.342149,,,,,,,,,,0.000000000,1703862876.783651352,-0.005938297,3.031887565,-0.054440275,-0.995609283,-0.075813882,0.152329167,-0.007127756,2.658908844,0.703236341,0.814613879
1706626564.346295,1379.000000000,1703862876.293527842,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.349486,,,,,,,,,,0.000000000,1703862876.793735743,-0.004789926,3.031646458,-0.054610409,-0.995675623,-0.074869812,0.150371058,-0.006511785,2.658912420,0.703207970,0.814627647
1706626564.359634,,,,,,,,,,0.000000000,1703862876.803646803,-0.004958340,3.032667470,-0.054096498,-0.995711744,-0.074758910,0.150150853,-0.006551450,2.658918619,0.703216493,0.814605594
1706626564.361748,,,,,,,,,,0.000000000,1703862876.803897142,-0.005187518,3.032320511,-0.054261789,-0.995715439,-0.074579366,0.149805079,-0.006669132,2.658914566,0.703213751,0.814625084
1706626564.370353,,,,,,,,,,0.000000000,1703862876.813773394,-0.007131239,3.033046016,-0.053825509,-0.995713472,-0.074828692,0.150407079,-0.007625971,2.658924341,0.703230500,0.814606369
1706626564.380248,,,,,,,,,,0.000000000,1703862876.823866129,-0.013557196,3.038910521,-0.050743818,-0.996408343,-0.067016609,0.135010732,-0.010215761,2.658680916,0.703749359,0.814333916
1706626564.382778,,,,,,,,,,0.000000000,1703862876.824071646,-0.013552106,3.039960744,-0.050219487,-0.996426463,-0.067146286,0.135260010,-0.010184292,2.658651352,0.703722715,0.814279079
1706626564.390025,,,,,,,,,,0.000000000,1703862876.833774090,-0.014255440,3.038807329,-0.050770406,-0.996397018,-0.067109302,0.135234090,-0.010572739,2.658609629,0.703703046,0.814302325
1706626564.403804,,,,,,,,,,0.000000000,1703862876.843616962,-0.013877155,3.037879856,-0.051249545,-0.996401310,-0.066707104,0.134416830,-0.010394470,2.658552408,0.703708291,0.814341366
1706626564.409931,,,,,,,,,,0.000000000,1703862876.843784332,-0.013412759,3.037974114,-0.051225945,-0.996454954,-0.065962918,0.132897838,-0.010121072,2.658491611,0.703716815,0.814350069
1706626564.416494,,,,,,,,,,0.000000000,1703862876.853680849,-0.014489793,3.038687091,-0.050830685,-0.996445596,-0.066325448,0.133674204,-0.010653880,2.658504009,0.703679562,0.814322770
1706626564.444034,1380.000000000,1703862876.293582201,0.000000000,0.000000000,0.000000000,0.000000000,3.073505402,0.713112354,0.841489434,,,,,,,,,,,,
1706626564.500569,,,,,,,,,,0.000000000,1703862876.943619013,0.099004404,2.567016894,-0.267161876,-0.940189302,0.183576360,-0.414931050,0.104729950,2.641364813,0.708153963,0.831674457
