__time,/pred_cup_pose/header/header/seq,/pred_cup_pose/header/header/stamp,/pred_cup_pose/pose/orientation/w,/pred_cup_pose/pose/orientation/x,/pred_cup_pose/pose/orientation/y,/pred_cup_pose/pose/orientation/z,/pred_cup_pose/pose/position/x,/pred_cup_pose/pose/position/y,/pred_cup_pose/pose/position/z,/vrpn_mocap/cup/pose/header/header/seq,/vrpn_mocap/cup/pose/header/header/stamp,/vrpn_mocap/cup/pose/pose/orientation/pitch,/vrpn_mocap/cup/pose/pose/orientation/roll,/vrpn_mocap/cup/pose/pose/orientation/w,/vrpn_mocap/cup/pose/pose/orientation/x,/vrpn_mocap/cup/pose/pose/orientation/y,/vrpn_mocap/cup/pose/pose/orientation/yaw,/vrpn_mocap/cup/pose/pose/orientation/z,/vrpn_mocap/cup/pose/pose/position/x,/vrpn_mocap/cup/pose/pose/position/y,/vrpn_mocap/cup/pose/pose/position/z
1706626594.661270,,,,,,,,,,0.000000000,1703862878.483706236,-0.191265115,0.024980791,-0.993935049,-0.007204286,0.096015595,-0.109191674,0.053124279,2.654595852,0.700804174,0.845718563
1706626594.663927,,,,,,,,,,0.000000000,1703862878.483772516,-0.191418292,0.026400170,-0.993906140,-0.007875863,0.096131817,-0.109806461,0.053360246,2.654585838,0.700818419,0.845723510
1706626594.670805,,,,,,,,,,0.000000000,1703862878.493771315,-0.190611565,0.025479440,-0.993935049,-0.007418122,0.095708139,-0.110280865,0.053647477,2.654611826,0.700811982,0.845724344
1706626594.680714,,,,,,,,,,0.000000000,1703862878.503699064,-0.191092405,0.027635522,-0.993933260,-0.008529136,0.096000150,-0.109176313,0.052990790,2.654582977,0.700862586,0.845745206
1706626594.683409,,,,,,,,,,0.000000000,1703862878.503799200,-0.191655432,0.025586714,-0.993951082,-0.007561485,0.096220404,-0.107800889,0.052400518,2.654592752,0.700866699,0.845748663
1706626594.689974,,,,,,,,,,0.000000000,1703862878.513777494,-0.191158119,0.027550097,-0.993941545,-0.008504828,0.096028775,-0.108760341,0.052787546,2.654579401,0.700877130,0.845749795
1706626594.701873,,,,,,,,,,0.000000000,1703862878.523557186,-0.191769300,0.025984210,-0.993916273,-0.007704980,0.096291482,-0.108858664,0.052906040,2.654568911,0.700881064,0.845756412
1706626594.706028,,,,,,,,,,0.000000000,1703862878.523806095,-0.192759460,0.024720537,-0.993922412,-0.007139070,0.096743472,-0.107008933,0.052038983,2.654585123,0.700835109,0.845728099
1706626594.710943,1859.000000000,1703862877.894052744,0.000000000,0.000000000,0.000000000,0.000000000,3.059386730,0.704560399,0.815499961,,,,,,,,,,,,
1706626594.713486,,,,,,,,,,0.000000000,1703862878.534148932,-0.191794856,0.025349538,-0.993923426,-0.007399755,0.096286550,-0.108632501,0.052823972,2.654591799,0.700836003,0.845737696
1706626594.720248,,,,,,,,,,0.000000000,1703862878.543613911,-0.191231927,0.026365390,-0.993924558,-0.007880894,0.096036881,-0.109450175,0.053186566,2.654598475,0.700841188,0.845742285
1706626594.722909,,,,,,,,,,0.000000000,1703862878.543745279,-0.191630996,0.026399749,-0.993920684,-0.007914251,0.096233845,-0.108880836,0.052898321,2.654590845,0.700831294,0.845724344
1706626594.730125,,,,,,,,,,0.000000000,1703862878.553633928,-0.191665303,0.026092053,-0.993932247,-0.007782220,0.096240990,-0.108427130,0.052687339,2.654595137,0.700855911,0.845731556
1706626594.732622,,,,,,,,,,0.000000000,1703862878.553923368,-0.191817574,0.025829226,-0.993922412,-0.007640862,0.096310243,-0.108562960,0.052766114,2.654571056,0.700874507,0.845723212
1706626594.740292,,,,,,,,,,0.000000000,1703862878.563672543,-0.191168604,0.025625147,-0.993922830,-0.007501203,0.095986784,-0.109733132,0.053363293,2.654581070,0.700872898,0.845737576
1706626594.742615,,,,,,,,,,0.000000000,1703862878.563821077,-0.191492928,0.025022692,-0.993941784,-0.007250799,0.096127503,-0.108525642,0.052789263,2.654575586,0.700894713,0.845742047
1706626594.752246,,,,,,,,,,0.000000000,1703862878.573738098,-0.192080693,0.022676045,-0.993923604,-0.006071868,0.096357346,-0.108453580,0.052861366,2.654592752,0.700823784,0.845714629
1706626594.756335,,,,,,,,,,0.000000000,1703862878.573919058,-0.192402108,0.022876679,-0.993906856,-0.006161124,0.096522465,-0.108486856,0.052865576,2.654566765,0.700849891,0.845724285
